title,file_zip,file_size,number_channels,preview,genre,artist
Fever,https://mtkdata.cambridgemusictechnology.co.uk/MTK016/Mirroman_Fever_Full.zip,62 MB,3,https://previews.cambridge-mt.com/Fever_Full_Preview.mp3,0,39
Go Go Go,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/NickiBluhmAndTheGramblers_GoGoGo_Full.zip,502 MB,19,https://previews.cambridge-mt.com/GoGoGo_Full_Preview.mp3,0,40
Nalim,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/NikolaStajicFtVlasisKostas_Nalim_Full.zip,154 MB,4,https://previews.cambridge-mt.com/Nalim_Full_Preview.mp3,0,41
That's Entertainment,https://multitracks.cambridge-mt.com/Ojebokoren_ThatsEntertainment_Full.zip,157 MB,7,https://previews.cambridge-mt.com/ThatsEntertainment_Full_Preview.mp3,0,42
Carolina In The Pines,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/PrettySaro_CarolinaInThePines_Full.zip,203 MB,6,https://previews.cambridge-mt.com/CarolinaInThePines_Full_Preview.mp3,0,43
The Glass,https://multitracks.cambridge-mt.com/Primakova_TheGlass_Full.zip,405 MB,24,https://previews.cambridge-mt.com/TheGlass_Full_Preview.mp3,0,44
achebel's'Canon,https://multitracks.cambridge-mt.com/RodAlexander_Canon_Full.zip,75 MB,2,https://previews.cambridge-mt.com/Canon_Full_Preview.mp3,0,45
Tears In The Rain,https://mtkdata.cambridgemusictechnology.co.uk/MTK008/RodAlexander_TearsInTheRain_Full.zip,218 MB,14,https://previews.cambridge-mt.com/TearsInTheRain_Full_Preview.mp3,0,45
It's In These Times,https://multitracks.cambridge-mt.com/RoversAhead_ItsInTheseTimes_Full.zip,949 MB,41,https://previews.cambridge-mt.com/ItsInTheseTimes_Full_Preview.mp3,0,46
Ying Yang,https://mtkdata.cambridgemusictechnology.co.uk/MTK003/MR1207_SantiVega_Full.zip,53 MB,1,https://previews.cambridge-mt.com/1207_Remix.mp3,0,47
ill Ashton's'Much Too Much,https://mtkdata.cambridgemusictechnology.co.uk/MTK005/SelwynJazz_MuchTooMuch_Full.zip,516 MB,15,https://previews.cambridge-mt.com/MuchTooMuch_Full_Preview.mp3,0,48
Copper,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/SimonLyn_Copper_Full.zip,349 MB,26,https://previews.cambridge-mt.com/Copper_Full_Preview.mp3,0,49
Christmas Blues,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_ChristmasBlues_Full.zip,238 MB,11,https://previews.cambridge-mt.com/ChristmasBlues_Full_Preview.mp3,0,50
Jeden Winter,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_JedenWinter_Full.zip,146 MB,9,https://previews.cambridge-mt.com/JedenWinter_Full_Preview.mp3,0,50
What Child Is This,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_WhatChildIsThis_Full.zip,251 MB,16,https://previews.cambridge-mt.com/WhatChildIsThis_Full_Preview.mp3,0,50
Is You Is Or Is You Ain't,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_IsYouIsOrIsYouAint_Full.zip,243 MB,10,https://previews.cambridge-mt.com/IsYouIsOrIsYouAint_Full_Preview.mp3,0,50
Our Love Is Here To Stay,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_OurLoveIsHereToStay_Full.zip,296 MB,10,https://previews.cambridge-mt.com/OurLoveIsHereToStay_Full_Preview.mp3,0,50
Wayfaring Stranger,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Spektakulatius_WayfaringStranger_Full.zip,336 MB,9,https://previews.cambridge-mt.com/WayfaringStranger_Full_Preview.mp3,0,50
Fleche D'Or,https://multitracks.cambridge-mt.com/SwingBazar_FlecheDOr_Full.zip,215 MB,8,https://previews.cambridge-mt.com/FlecheDOr_Full_Preview.mp3,0,51
The Road Ahead,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/MR0904_TimoCarlier_Full.zip,170 MB,9,https://previews.cambridge-mt.com/0904_Remix.mp3,0,52
Directions,https://mtkdata.cambridgemusictechnology.co.uk/MTK006/MR1304_TomMcKenzie_Full.zip,290 MB,31,https://previews.cambridge-mt.com/1304_Remix.mp3,0,53
Who I Am,https://mtkdata.cambridgemusictechnology.co.uk/Telefunken/UncleDad_WhoIAm_Full.zip,627 MB,32,https://previews.cambridge-mt.com/WhoIAm_Full_Preview.mp3,0,54
Arto,https://multitracks.cambridge-mt.com/UTGandhi_Arto_Full.zip,326 MB,11,https://previews.cambridge-mt.com/Arto_Full_Preview.mp3,0,55
Cog In The Machine,http://puremix.net/video/othering/events/gearfest-2011-tracking-1-6-bass-drum.html,752 MB,13,https://previews.cambridge-mt.com/CogInTheMachine_Full_Preview.mp3,0,56
Lament,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1108_WolfsHeadAndVixen_Full.zip,130 MB,12,https://previews.cambridge-mt.com/1108_Remix.mp3,0,57
Tell Me Nice,https://multitracks.cambridge-mt.com/WovenHollow_TellMeNice_Full.zip,91 MB,18,https://previews.cambridge-mt.com/TellMeNice_Full_Preview.mp3,0,58
Air,https://mtkdata.cambridgemusictechnology.co.uk/MTK011/Zwiepack_Air_Full.zip,193 MB,8,https://previews.cambridge-mt.com/Air_Full_Preview.mp3,0,59
Summertime,https://mtkdata.cambridgemusictechnology.co.uk/MTK011/Zwiepack_Summertime_Full.zip,214 MB,10,https://previews.cambridge-mt.com/Summertime_Full_Preview.mp3,0,59
Ubiquitous,https://multitracks.cambridge-mt.com/AlbertKader_Ubiquitous_Full.zip,520 MB,11,https://previews.cambridge-mt.com/Ubiquitous_Full_Preview.mp3,1,60
Whiptails,https://multitracks.cambridge-mt.com/AlbertKader_Whiptails_Full.zip,366 MB,15,https://previews.cambridge-mt.com/Whiptails_Full_Preview.mp3,1,60
Heart Peripheral,https://mtkdata.cambridgemusictechnology.co.uk/MTK003/AMContra_HeartPeripheral_Full.zip,275 MB,32,https://previews.cambridge-mt.com/HeartPeripheral_Full_Preview.mp3,1,61
Amalgamize,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/APZX_Amalgamize_Full.zip,577 MB,27,https://previews.cambridge-mt.com/Amalgamize_Full_Preview.mp3,1,62
Cyber Mower,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/APZX_CyberMower_Full.zip,331 MB,37,https://previews.cambridge-mt.com/CyberMower_Full_Preview.mp3,1,62
From Earth To Planet Omega,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/APZX_FromEarthToPlanetOmega_Full.zip,921 MB,60,https://previews.cambridge-mt.com/FromEarthToPlanetOmega_Full_Preview.mp3,1,62
Lacuna,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/APZX_Lacuna_Full.zip,652 MB,38,https://previews.cambridge-mt.com/Lacuna_Full_Preview.mp3,1,62
Transcention,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/APZX_Transcention_Full.zip,138 MB,26,https://previews.cambridge-mt.com/Transcention_Full_Preview.mp3,1,62
Fly High,https://mtkdata.cambridgemusictechnology.co.uk/MTK016/AronJaeger_FlyHigh_Full.zip,301 MB,31,https://previews.cambridge-mt.com/FlyHigh_Full_Preview.mp3,1,63
Aiguille Rouge,https://multitracks.cambridge-mt.com/BabeGrand_AiguilleRouge_Full.zip,606 MB,28,https://previews.cambridge-mt.com/AiguilleRouge_Full_Preview.mp3,1,64
King Of The Weekend,https://multitracks.cambridge-mt.com/BabeGrand_KingOfTheWeekend_Full.zip,435 MB,30,https://previews.cambridge-mt.com/KingOfTheWeekend_Full_Preview.mp3,1,64
Downtempo,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Bravestar_Downtempo_Full.zip,293 MB,26,https://previews.cambridge-mt.com/Downtempo_Full_Preview.mp3,1,65
Mathematician,https://mtkdata.cambridgemusictechnology.co.uk/MTK005/cfx_Mathematician_Full.zip,294 MB,19,https://previews.cambridge-mt.com/Mathematician_Full_Preview.mp3,1,66
Do Not Stand,https://multitracks.cambridge-mt.com/CarolDant_DoNotStand_Full.zip,99 MB,7,https://previews.cambridge-mt.com/DoNotStand_Full_Preview.mp3,1,67
I Am The Desert,https://multitracks.cambridge-mt.com/CarolDant_IAmTheDesert_Full.zip,529 MB,20,https://previews.cambridge-mt.com/IAmTheDesert_Full_Preview.mp3,1,67
Celebrate,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR0905_ChrisDurban_Full.zip,652 MB,30,https://previews.cambridge-mt.com/0905_Remix.mp3,1,68
Another Way,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/cryonicPAX_AnotherWay_Full.zip,260 MB,24,https://previews.cambridge-mt.com/AnotherWay_Full_Preview.mp3,1,69
Excessive,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/cryonicPAX_Excessive_Full.zip,195 MB,18,https://previews.cambridge-mt.com/Excessive_Full_Preview.mp3,1,69
Hold Me,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/cryonicPAX_HoldMe_Full.zip,188 MB,23,https://previews.cambridge-mt.com/HoldMe_Full_Preview.mp3,1,69
Melancholy,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/cryonicPAX_Melancholy_Full.zip,232 MB,18,https://previews.cambridge-mt.com/Melancholy_Full_Preview.mp3,1,69
Echoes,https://multitracks.cambridge-mt.com/Fin_Echoes_Full.zip,342 MB,17,https://previews.cambridge-mt.com/Echoes_Full_Preview.mp3,1,70
Spaces,https://multitracks.cambridge-mt.com/FranciscoPerez_Spaces_Full.zip,225 MB,18,https://previews.cambridge-mt.com/Spaces_Full_Preview.mp3,1,71
Horizon,https://multitracks.cambridge-mt.com/Galias_Horizon_Full.zip,363 MB,20,https://previews.cambridge-mt.com/Horizon_Full_Preview.mp3,1,72
Siren,https://mtkdata.cambridgemusictechnology.co.uk/MTK002/GeorgiaWonder_Siren_Full.zip,1030 MB,59,https://previews.cambridge-mt.com/Siren_Full_Preview.mp3,1,73
We Feel Alright,https://mtkdata.cambridgemusictechnology.co.uk/MTK001/MR1011_GirlsUnderGlass_Full.zip,571 MB,19,https://previews.cambridge-mt.com/1011_Remix.mp3,1,74
Ancora Qui,https://multitracks.cambridge-mt.com/Guarna_AncoraQui_Full.zip,390 MB,44,https://previews.cambridge-mt.com/AncoraQui_Full_Preview.mp3,1,75
Terania Creek Walking,https://multitracks.cambridge-mt.com/IanDearden_TeraniaCreekWalking_Full.zip,122 MB,19,https://previews.cambridge-mt.com/TeraniaCreekWalking_Full_Preview.mp3,1,76
Thursday Reverie,https://multitracks.cambridge-mt.com/IanDearden_ThursdayReverie_Full.zip,157 MB,6,https://previews.cambridge-mt.com/ThursdayReverie_Full_Preview.mp3,1,76
September Trance,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/J0K3R_SeptemberTrance_Full.zip,451 MB,18,https://previews.cambridge-mt.com/SeptemberTrance_Full_Preview.mp3,1,77
Machines On Treadmills,https://multitracks.cambridge-mt.com/JamesFabio_MachinesOnTreadmills_Full.zip,339 MB,17,https://previews.cambridge-mt.com/MachinesOnTreadmills_Full_Preview.mp3,1,78
Asiza,https://mtkdata.cambridgemusictechnology.co.uk/MTK015/JohnAArdelli_Asiza_Full.zip,731 MB,25,https://previews.cambridge-mt.com/Asiza_Full_Preview.mp3,1,79
Chardonnay,https://mtkdata.cambridgemusictechnology.co.uk/MTK014/JPLantieri_Chardonnay_Full.zip,814 MB,14,https://previews.cambridge-mt.com/Chardonnay_Full_Preview.mp3,1,80
Chardonnay (Lektrix Remix),https://mtkdata.cambridgemusictechnology.co.uk/MTK014/JPLantieri_ChardonnayLektrixRemix_Full.zip,324 MB,15,https://previews.cambridge-mt.com/ChardonnayLektrixRemix_Full_Preview.mp3,1,80
Chardonnay (Mystik Vibe Remix),https://mtkdata.cambridgemusictechnology.co.uk/MTK014/JPLantieri_ChardonnayMystikVibeRemix_Full.zip,704 MB,14,https://previews.cambridge-mt.com/ChardonnayMystikVibeRemix_Full_Preview.mp3,1,80
Chardonnay (Ornery Remix),https://mtkdata.cambridgemusictechnology.co.uk/MTK014/JPLantieri_ChardonnayOrneryRemix_Full.zip,837 MB,29,https://previews.cambridge-mt.com/ChardonnayOrneryRemix_Full_Preview.mp3,1,80
Riesling,https://mtkdata.cambridgemusictechnology.co.uk/MTK014/JPLantieri_Riesling_Full_1.zip,836 MB,79,https://previews.cambridge-mt.com/Riesling_Full_Preview.mp3,1,80
Heartbeats,https://mtkdata.cambridgemusictechnology.co.uk/MTK006/JulietsRescue_Heartbeats_Full.zip,668 MB,45,https://previews.cambridge-mt.com/Heartbeats_Full_Preview.mp3,1,81
Got Your Love,https://multitracks.cambridge-mt.com/KarlHungus_GotYourLove_Full.zip,328 MB,71,https://previews.cambridge-mt.com/GotYourLove_Full_Preview.mp3,1,82
Sandstorm,https://multitracks.cambridge-mt.com/Ludo_Sandstorm_Full.zip,333 MB,63,https://previews.cambridge-mt.com/Sandstorm_Full_Preview.mp3,1,83
Light It Up (Remix),http://www.puremix.net/zelab-mixing-contest/zelab-session-39-major-lazer.html,155 MB,29,https://previews.cambridge-mt.com/LightItUp_Full_Preview.mp3,1,84
Cruising The Ice,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/MountaineeringClubOrchestra_CruisingTheIce_Full.zip,363 MB,19,https://previews.cambridge-mt.com/CruisingTheIce_Full_Preview.mp3,1,85
Too Bright,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/Mu_TooBright_Full.zip,375 MB,32,https://previews.cambridge-mt.com/TooBright_Full_Preview.mp3,1,86
Shela Ya Marhaba,https://multitracks.cambridge-mt.com/MustafaAlbazy_ShelaYaMarhaba_Full.zip,514 MB,36,https://previews.cambridge-mt.com/ShelaYaMarhaba_Full_Preview.mp3,1,87
Tgheer,https://multitracks.cambridge-mt.com/MustafaAlbazy_Tgheer_Full.zip,559 MB,32,https://previews.cambridge-mt.com/Tgheer_Full_Preview.mp3,1,87
